知***m,2016-12-27 16:21:21,【超柔版】男深灰,XXXXXL,严重差评，偏色骗子，以后绝对不回来第二次买你家东西。我在质问你，你为何不做声！！！还不支持传图功能！骗子欺骗消费者！！！差评。我不满意！！！没有教养的东西
就***玛,2016-12-27 16:21:20,【尊享版】男深灰,XL,好
为***8,2016-12-27 16:19:33,【尊享版】男浅灰,L,很不错的。面料摸起来很舒服。很贴身保暖。十分好评！
李***0,2016-12-27 16:18:36,【尊享版】男深灰,L,还是给个好坪吧，但是有点薄
c***4,2016-12-27 16:18:25,【尊享版】男深灰,XXL,还可以吧
爱***心,2016-12-27 16:17:25,【超柔版】男咖啡,XL,值得推荐，等我爸回来了，还会再来买几套！！
爱***心,2016-12-27 16:17:25,【超柔版】男藏青,XXL,第二次买了！！
万***贸,2016-12-27 16:17:07,【超柔版】男深灰,XL,东西不错品牌的真光毛毛
t***0,2016-12-27 16:14:07,[升级版]男藏青,XXXL,绝对正版，质量杠杠好
就***么,2016-12-27 16:13:29,【超柔版】男藏青,L,好评。绒绒很柔软，物流也快。
g***6,2016-12-27 16:13:12,【尊享版】男浅灰,XXXL,不吸汗  尺码偏小
s***2,2016-12-27 16:10:49,【尊享版】男浅灰,XXL,衣服还可以，就是有点薄，比想象中的薄
1***m,2016-12-27 16:10:04,【尊享版】女黑色,XXL,还可以
王***8,2016-12-27 16:09:38,【超柔版】女黑色,XL,态度差，
t***0,2016-12-27 16:07:27,[升级版]男浅灰,XL,说很暖
z***9,2016-12-27 16:05:33,【尊享版】女黑色,L,不错，很满意。
路***a,2016-12-27 16:05:16,【超柔版】男浅灰,XXXXL,挺好看的。爸爸很喜欢。
小***2,2016-12-27 16:04:35,【尊享版】男深灰,XL,帮朋友买的，朋友说保暖l质量还可以，是他想要买的那种！
小***2,2016-12-27 16:04:35,【尊享版】男浅灰,XL,帮朋友买的，朋友说保暖l质量还可以，是他想要买的那种！
赵***物,2016-12-27 15:59:28,【超柔版】男藏青,XXL,不错，很好
天***式,2016-12-27 15:58:26,【超柔版】男藏青,XXXXL,衣服很好，中间出现了一些小插曲，通过沟通都解决了，不错的衣服，值得推荐
a***书,2016-12-27 15:57:17,【超柔版】女紫色,M,还好，就是不知道洗了会不会缩水
p***9,2016-12-27 15:55:17,【超柔版】男浅灰,XXL,此用户没有填写评论!
t***2,2016-12-27 15:55:08,【尊享版】男深灰,XXL,宝贝质量不错！&hellip;&hellip;物流也很快！&hellip;&hellip;
杨***菲,2016-12-27 15:54:55,【尊享版】男浅灰,XL,挺好的、第三次买
q***4,2016-12-27 15:54:25,【超柔版】男深灰,XL,秋衣不错，挺实惠的，而且保暖，给我爸爸买的大小正好。也不气球，非常不错。
m***0,2016-12-27 15:53:44,【尊享版】男浅灰,XL,很暖和，对得起这个价格
q***9,2016-12-27 15:52:58,[升级版]男深灰,L,特别棒，就是袖子短了点点
a***6,2016-12-27 15:52:17,【尊享版】男藏青,XXL,宝贝収到，还满意
s***o,2016-12-27 15:52:04,【尊享版】男深灰,XL,刚收到宝贝，我以为挺厚的，但是摸上去有点薄。还没穿，回去再试试。
格***9,2016-12-27 15:51:47,【尊享版】男藏青,XL,包裹老爸买的，挺好价格美丽！
s***8,2016-12-27 15:50:59,【超柔版】女黑色,XXXL,非常不错哦，下次再来，衣服质量可以，快递贼快
s***8,2016-12-27 15:50:59,[升级版]男深灰,XXL,非常不错哦，下次再来，衣服质量绝对的，赞
莫***n,2016-12-27 15:50:05,【超柔版】男深灰,XL,挺好的~有点问题客服很快帮我解决了
骚***文,2016-12-27 15:48:17,【超柔版】男深灰,XL,还可以哦
a***1,2016-12-27 15:48:02,【超柔版】女黑色,M,料子很好，很暖和
t***2,2016-12-27 15:47:54,[升级版]男深灰,L,还好，不是想象那么厚实！
d***9,2016-12-27 15:47:52,【尊享版】男藏青,XXL,衣服有点薄，摸着还挺软
名***2,2016-12-27 15:47:16,【尊享版】男酒红,XL,非常薄的那种....
o***c,2016-12-27 15:46:56,【尊享版】男藏青,L,给爸爸买的，快递回家了，不知道怎样
c***6,2016-12-27 15:46:16,[升级版]男藏青,XL,裤子有点小，建议买大点号
孙***宝,2016-12-27 15:46:06,[升级版]男浅灰,L,宝贝收到很激动，没及时试穿，码偏小，结果穿了2天后发现裤子是破的，质量太差，差评差评
丢***四,2016-12-27 15:44:37,【尊享版】男藏青,XXXL,给爸爸买的，料子很柔软～
一***了,2016-12-27 15:43:22,【尊享版】男藏青,XXXL,非常不错，就是上衣有点短！
孙***心,2016-12-27 15:43:18,【尊享版】男藏青,XL,宝贝已经收到了，特意洗了下，一点儿都不掉毛，水也是清清的，质量很好，值得购买，准备再入手1套
t***2,2016-12-27 15:42:03,【尊享版】男藏青,XL,衣服还行，就是有点薄，就当打底衫穿吧，至少还有点绒，比衬衫好点
x***3,2016-12-27 15:41:46,【尊享版】男深灰,XL,衣服收到了，质感很好，非常的软和
晚***麦,2016-12-27 15:40:57,【尊享版】男浅灰,XL,可以，感觉偏小，买给爸的不知合适不。
晚***麦,2016-12-27 15:40:57,【尊享版】女红色,M,可以，还没穿，感觉值这个价。下次再来
t***0,2016-12-27 15:38:06,【超柔版】男深灰,XL,宝贝收到了   质量特别好   摸起来很柔软  很满意的一次购物  还会再次光顾的
安***淇,2016-12-27 15:37:20,【尊享版】男浅灰,XL,好评
z***6,2016-12-27 15:37:19,【超柔版】男咖啡,XXL,超柔软，大爱！
淮***哥,2016-12-27 15:37:07,[升级版]男藏青,XXL,很合身，卖家态度也非常棒，物流很给力。最中要的是宝贝很给力，穿着很暖和！
w***7,2016-12-27 15:33:57,【尊享版】男深灰,XXL,衣服质量挺好的，值得入手
d***e,2016-12-27 15:32:05,[升级版]男深灰,XXXL,穿了再追评
d***3,2016-12-27 15:30:16,[升级版]男深灰,XXL,太薄
三***9,2016-12-27 15:29:40,【尊享版】男藏青,XXXL,值得亲们入手
心***i,2016-12-27 15:28:37,【尊享版】男深灰,XXL,按照那个尺码标买的都偏小，袖子短了一截
o***o,2016-12-27 15:27:30,【超柔版】男酒红,XXXL,物流特别快 里面的绒很舒服软软的 下次再来
t***1,2016-12-27 15:27:13,【超柔版】男深灰,XXXXXL,挺好的，买的最大号，裤子合适，上衣大了。
酷***星,2016-12-27 15:26:21,【尊享版】男深灰,XXL,可以的给我吧买的，穿着挺舒服的
2***j,2016-12-27 15:25:22,【超柔版】女黑色,XL,衣服简直了，我的天差劲死了，穿上痒死了，还掉毛起球真是气死了，和二十块的东西没两样
2***j,2016-12-27 15:25:22,【尊享版】男浅灰,XXL,衣服简直了，我的天差劲死了，穿上痒死了，还掉毛起球真是气死了，和二十块的东西没两样
阿***主,2016-12-27 15:23:40,[升级版]女魅力黑,XXL,超大   169120xxl  能塞两个我
